BC   çVALOR    çTARTçTYPEçBID-PRICE           çBID-DATE  çASK-PRICE           çASK-DATE  çVAL-PRICE           çVAT  çVAL-DATE  ç
00148ç000946868ç  X çLASTç4.305               ç19.02.2024ç                    ç          ç4.3365              çMID  ç19.02.2024ç
00363ç131282954ç  0 çBESTç0.104               ç18.02.2024ç                    ç          ç1.0                 ç00191ç03.01.2024ç
00503ç054013410ç  0 çBESTç                    ç          ç87.3                ç18.02.2024ç70.4                çTRA  ç18.02.2024ç
01361ç000945657ç  1 çLASTç12000.0             ç16.02.2024ç                    ç          ç26325.0             çTRA  ç16.02.2024ç
01361ç123855961ç  1 çLASTç5.0                 ç16.02.2024ç                    ç          ç11.0                çBID  ç06.07.2023ç
01362ç001032783ç  1 çBESTç                    ç          ç20.0                ç16.02.2024ç0.25                çBID  ç16.02.2024ç
01362ç001059245ç  1 çBESTç                    ç          ç10.0                ç16.02.2024ç1.0                 çBID  ç16.02.2024ç
01362ç035934633ç  1 çBESTç                    ç          ç5.0                 ç16.02.2024ç2.5                 çBID  ç16.02.2024ç
01362ç035935166ç  1 çBESTç                    ç          ç90.0                ç16.02.2024ç2.5                 çBID  ç16.02.2024ç
01362ç035946298ç  1 çBESTç                    ç          ç40.0                ç16.02.2024ç2.0                 çBID  ç16.02.2024ç
01573ç000453550ç  1 çBESTç                    ç          ç11.4                ç16.02.2024ç2.735               çTRA  ç16.02.2024ç
01573ç000498444ç  1 çBESTç                    ç          ç1.104               ç16.02.2024ç0.105               çTRA  ç16.02.2024ç
01573ç014867871ç  1 çBESTç                    ç          ç91.2                ç16.02.2024ç10.08               çTRA  ç16.02.2024ç
01573ç014957283ç  1 çBESTç0.0006              ç16.02.2024ç                    ç          ç0.344               çBID  ç16.02.2024ç
01644ç029432432ç  1 çBESTç0.2681              ç16.02.2024ç                    ç          ç0.2983              çTRA  ç16.02.2024ç
