Jur	G-Key	Company short name	Domicile	CH-VN	ISIN	Sec.type	Princ.floor	Product name	Security prefix	Security suffix	Maturity	EUZS	
XS	GK000122499	Lehman Brothers	333	CH001355300	XS0141192210	6			0 % Fund Linked Notes	2002-23.11.06 On a Basket of Funds Senior Srs 1370	23.11.2006	099	
CH	GK000222376	Lehman Br.Sec NV	531	CH001760135	CH0017601359	6			Warrants	2004-21.1.9 (Exp.5.1.9) On S&P 500 Index -In    Default-	21.01.2009	007	
XS	GK000122154	Glitnir HoldCo	514	CH002011017	XS0207127837	6			Euro Medium-Term Notes	2004-11.11.09 on a Basket of Indices Srs 167 Sr -In Default-	11.11.2009	099	
XS	GK000122154	Glitnir HoldCo	514	CH002040527	XS0209612109	6			Euro Medium-Term Notes	2004-16.12.09 on a Bskt of Indices & Currencies -In Default-	16.12.2009	099	
XS	GK000122154	Glitnir HoldCo	514	CH002067668	XS0212463011	6		Issue of EUR 10'000'000 Equity Linked	Equity Linked Notes	2005-2.4.10 (Rep.15.4.10) on a Bskt of Shs -In Default-	02.04.2010	099	
XS	GK000122154	Glitnir HoldCo	514	CH002096840	XS0215219659	6			Index Linked Notes	2005-21.2.10 on HFRX Global Index -In Default-	21.02.2010	099	
XS	GK000122154	Glitnir HoldCo	514	CH002129278	XS0217876126	6			Index Linked Notes	2005-1.3.10 on a Basket of Indices Reg-S -In Default-	01.03.2010	099	
XS	GK000122154	Glitnir HoldCo	514	CH002148855	XS0219212544	6			Notes	2005-30.5.10 on ishs MSCI Emg Indx Reg-S -In Default-	30.05.2010	007	
XS	GK000122154	Glitnir HoldCo	514	CH002164317	XS0220252018	6			Euro Medium-Term Notes	2005-19.5.10 on a Basket of Indices -In Default-	19.05.2010	099	
DE	GK000292986	UBS Europe	044	CH002164694	DE000UB0EC37	6		GLOBAL PROPERTY INDEX CERTIFICATE	Certificates	2005-22.12.17-in default-	22.12.2017	009	
DE	GK000292986	UBS Europe	044	CH002164734	DE000UB0EC45	6		Global Property Index (EUR) Certificates	Certificates	2005-22.12.17 on Global Property Index -in default-	22.12.2017	009	
DE	GK000292986	UBS Europe	044	CH002164760	DE000UB0EC52	6		Global Property Index Certificates	Certificates	2005-22.12.17 on Global Property Index - in default-	22.12.2017	009	
XS	GK000122154	Glitnir HoldCo	514	CH002187522	XS0222239682	6			0 % Equity Linked Notes	2005-26.7.12 on Equity -In Default-	26.07.2012	099	
XS	GK000122154	Glitnir HoldCo	514	CH002201558	XS0223403873	6			Index Linked Notes	2005-10.4.10 on a Basket of Indices Reg-S -In Default-	10.04.2010	099	
XS	GK000400216	Sigma Finance	202	CH002267367	XS0229086698	6			0 % Euro Medium-Term Notes	2005-8.9.14 on Index -In Default-	08.09.2014	099	
XS	GK000122154	Glitnir HoldCo	514	CH002274529	XS0229850515	6			(no min.) Euro Medium-Term Notes	2005-14.3.12 Floating Rate on Index -In Default-	14.03.2012	099	
XS	GK000122154	Glitnir HoldCo	514	CH002282458	XS0230478538	6			3 % Equity Linked Notes	2005-18.11.11 on Equity -In Default-	18.11.2011	099	
XS	GK000122154	Glitnir HoldCo	514	CH002284127	XS0230601675	6			0 % Equity Linked Notes	2005-29.9.10 on Equity -In Default-	29.09.2010	099	
XS	GK000122154	Glitnir HoldCo	514	CH002304550	XS0232486380	6			1 % Equity Linked Notes	2005-4.11.10 on Equity -In Default-	04.11.2010	099	
DE	GK000292986	UBS Europe	044	CH002343198	DE000UB0EDJ9	6		Signina Robusta Index Certificates	Certificates	2005-31.12.15 extendable -notleidend-	31.12.2015	012	
US	GK000122499	Lehman Brothers	333	CH002345471	US52517PC749	6			Medium Term Notes	2005-30.11.10 Series H T  598 Fltg Rt  11th Liquidating Dis	30.11.2010	099	
SM	GK000222376	Lehman Br.Sec NV	531	CH002346873	ANN521331424	6		Up to 100'000 Leveraged Certificates on TOPIX	Leveraged Certificates	2005-30.11.08 on Topix Index Srs L-05/22 -In Default-	30.11.2008	099	
CH	GK000222376	Lehman Br.Sec NV	531	CH002363885	CH0023638858	6		Leverage Certificates on Topix	Certificates	2005-12.12.08 On Topix Index	12.12.2008	007	
US	GK000122499	Lehman Brothers	333	CH002445006	US524908NC03	6			0 % Notes	2005-3.8.10 Lkd to Bskt AMEX HK30IndN 11th Liquidating Dist	03.08.2010	099	
XS	GK000122154	Glitnir HoldCo	514	CH002451667	XS0245047278	6		Issue of EUR 16'000'000 Equity Linked Notes	Equity Linked Notes	2006-23.2.11(EXP.16.2.11)on a Bskt of Shs S 283 -In Default-	23.02.2011	099	
CH	GK000241787	Lehman Brothers Lux	576	CH002472458	CH0024724582	6		Certificates	Certificates	2006-20.3.10 On S&P Pan Asia 50 Dividend Index -In default-	20.03.2010	099	
US	GK000122499	Lehman Brothers	333	CH002483022	US524908PF16	6			Medium Term Notes	2006-26.1.09 Lkd to Basket 11th Liquidating Distribution	26.01.2009	099	
US	GK000435325	Lehman Brothers	402	CH002505798	US524908PH71	6			0 % Notes	10.3.09 Lkd to Basket Index 11th Liquidating Distribution	10.03.2009	099	
SM	GK000222376	Lehman Br.Sec NV	531	CH002547710	ANN521334980	6		Up to 2'184 Certificates the Lehman Brothers	Certificates	2006-11.5.09 On LB Global Asset Allo Net Values -In Default-	11.05.2009	099	
XS	GK000122154	Glitnir HoldCo	514	CH002692788	XS0267121225	6			Euro Medium-Term Notes	2006-6.9.11 on E-Capital Partners Idx -In Default-	06.09.2011	099	
SM	GK000222376	Lehman Br.Sec NV	531	CH002724232	ANN521332745	6		Up to 500'000 Certificates on AXA SA	Certificates	2006-16.12.08 (EXP.12.12.08) on AXA SA Shs -In Default-	16.12.2008	099	
SM	GK000222376	Lehman Br.Sec NV	531	CH002765334	ANN5214A1035	6		Issue of up to 50'000 Bonus Certificates PLUS	Bonus Certificate Plus	2006-17.11.10 on a Basket of Shs Srs L-06/105 -In Default-	17.11.2010	007	
DE	GK000414388	Lehman Brothers	730	CH002881386	DE000A0MGS69	6		Airbag-Outperformance Notes	Euro Medium-Term Notes	2007-2.3.12 on D J Euro Stoxx 50 Index	02.03.2012	007	
XS	GK000122154	Glitnir HoldCo	514	CH002919156	XS0286413892	6			0 % Equity Linked Notes	2007-2.2.12 on Equity -In Default-	02.02.2012	099	
XS	GK000122154	Glitnir HoldCo	514	CH002919161	XS0286414601	6			0 % Equity Linked Notes	2007-2.2.12 on Equity -In Default-	02.02.2012	099	
DE	GK000414388	Lehman Brothers	730	CH002933750	DE000A0NLYL5	6		Bonus Certificate II on Nikkei 225 Index	Bonus Certificate II	2007-27.2.14 -in default-	27.02.2014	007	
DE	GK000414388	Lehman Brothers	730	CH002952260	DE000A0NMGK2	6		Alpha Express Notes	Alpha Express Notes	2007-max.7.7.11 on index basket	07.07.2011	007	
US	GK000122499	Lehman Brothers	333	CH002981215	US524908NV83	6			Notes	2005-29.9.08 on Nikkei 225 Index 11th Liquidating Distr	29.09.2008	099	
US	GK000122499	Lehman Brothers	333	CH002993350	US524908VN75	6			Buffered Return Enhanced Notes	2007-14.9.08 Lkd to Nikkei 225 Index 11th Liquidating Distr	14.09.2008	007	
XS	GK000015520	Boats Investmen	730	CH003017484	XS0293736632	6			Participating Notes	2007-30.4.17 VRN on Ref Ent Reg-S Srs98 Secured -In Default-	30.04.2017	008	
XS	GK000222376	Lehman Br.Sec NV	531	CH003044548	XS0295725260	6		Issue of up to USD 20 000 000 Equity-linked Cert	Equity Linked Certificate	2007-20.4.10 VRN on Bskt of ADR's Srs L07/178 -In Default-	20.04.2010	007	
DE	GK000406248	Lehman Broth Fin	001	CH003058407	DE000A0NTKC6	6		S&P Listed Private Equity Notes	Euro Medium-Term Notes	2007-15.6.12 on S&P Listed Private Equity-Index	15.06.2012	   	
